GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Bridgewater, Nova Scotia, municipal [12006]",2010,Homicide [110],0,0
"Bridgewater, Nova Scotia, municipal [12006]",2010,Attempted murder [1210],0,0
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Sexual assault, level 1 [1330]",4,47.96
"Bridgewater, Nova Scotia, municipal [12006]",2010,Total sexual violations against children [130],1,11.99
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Assault, level 3, aggravated [1410]",1,11.99
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Assault, level 2, weapon or bodily harm [1420]",11,131.89
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Assault, level 1 [1430]",112,1342.93
"Bridgewater, Nova Scotia, municipal [12006]",2010,Total robbery [160],4,47.96
"Bridgewater, Nova Scotia, municipal [12006]",2010,Total breaking and entering [210],20,239.81
"Bridgewater, Nova Scotia, municipal [12006]",2010,Total theft of motor vehicle [220],3,35.97
"Bridgewater, Nova Scotia, municipal [12006]",2010,Total impaired driving [910],22,263.79
"Bridgewater, Nova Scotia, municipal [12006]",2010,Total Drug violations [401],64,767.39
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Possession, cocaine [4120]",0,0
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Total, possession, other Controlled Drugs and Substances Act drugs [410]",0,0
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Total cannabis, trafficking, production or distribution (pre-legalization) [420]",9,107.91
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Total cocaine, trafficking, production or distribution [430]",1,11.99
"Bridgewater, Nova Scotia, municipal [12006]",2010,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution [440]",3,35.97
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Homicide [110],0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Attempted murder [1210],0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Sexual assault, level 3, aggravated [1310]",0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Sexual assault, level 2, weapon or bodily harm [1320]",0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Sexual assault, level 1 [1330]",13,390.16
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,Total sexual violations against children [130],0,0
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Assault, level 3, aggravated [1410]",1,30.01
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural [12007]",2010,"Assault, level 2, weapon or bodily harm [1420]",26,780.31
