OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
52,GO-2004696852,10/27/2004 5:00:00 AM,2004,October,27,Wednesday,301,D53,Other,099,Mount Pleasant East (99),099,Mount Pleasant East (99),-79.3785768832516,43.701013155978,-8836382.75851027,5419289.26225064
53,GO-2004697185,11/12/2004 5:00:00 AM,2004,November,12,Friday,317,D13,Other,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.4505288172627,43.6762050187581,-8844392.41116474,5415470.13334772
54,GO-2004734705,12/1/2004 5:00:00 AM,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4287118274161,43.669299617974,-8841963.7549473,5414407.35113029
55,GO-2004734705,12/1/2004 5:00:00 AM,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4287118274161,43.669299617974,-8841963.7549473,5414407.35113029
56,GO-2004735933,12/2/2004 5:00:00 AM,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough (133),133,Centennial Scarborough (133),-79.169285318696,43.7820373852884,-8813084.52817847,5431773.69069601
57,GO-2004734029,12/3/2004 5:00:00 AM,2004,December,3,Friday,338,D54,Stabbing,058,Old East York (58),058,Old East York (58),-79.3287658345987,43.6959378070911,-8830837.81801103,5418507.8008735
58,GO-2004735980,12/11/2004 5:00:00 AM,2004,December,11,Saturday,346,D33,Stabbing,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.3849625101428,43.7521612887036,-8837093.60325631,5427168.33570421
59,GO-2004730198,12/11/2004 5:00:00 AM,2004,December,11,Saturday,346,D14,Stabbing,079,University (79),079,University (79),-79.4018171352701,43.6576337993323,-8838969.85152882,5412612.19004248
60,GO-2004775505,12/12/2004 5:00:00 AM,2004,December,12,Sunday,347,D54,Stabbing,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.3090015531075,43.7087078852371,-8828637.6682029,5420474.16085847
61,GO-2004736004,12/19/2004 5:00:00 AM,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3788570492054,43.6606708997747,-8836413.94644673,5413079.51203103
62,GO-2004811677,12/19/2004 5:00:00 AM,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park (124),124,Kennedy Park (124),-79.2565177228836,43.730765285934,-8822795.19497242,5423871.5868602
63,GO-2004730003,12/20/2004 5:00:00 AM,2004,December,20,Monday,355,D54,Shooting,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.3277681347897,43.7126171721636,-8830726.75455507,5421076.20377766
64,GO-2004860547,12/31/2004 5:00:00 AM,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest (123),123,Cliffcrest (123),-79.2359037543924,43.7353739841123,-8820500.45844011,5424581.60685279
65,GO-2005879569,1/14/2005 5:00:00 AM,2005,January,14,Friday,14,D42,Stabbing,130,Milliken (130),130,Milliken (130),-79.2652312366933,43.8273743454401,-8823765.17891392,5438766.71280066
66,GO-2005910043,1/18/2005 5:00:00 AM,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.4244483275301,43.6653782126315,-8841489.14440963,5413803.87804886
67,GO-2005920738,1/21/2005 5:00:00 AM,2005,January,21,Friday,21,D14,Shooting,162,West Queen West (162),082,Niagara (82),-79.4077027307644,43.642906584578,-8839625.03307856,5410346.43296096
68,GO-2005920738,1/21/2005 5:00:00 AM,2005,January,21,Friday,21,D14,Shooting,162,West Queen West (162),082,Niagara (82),-79.4077027307644,43.642906584578,-8839625.03307856,5410346.43296096
69,GO-20051003568,1/24/2005 5:00:00 AM,2005,January,24,Monday,24,D42,Other,116,Steeles (116),116,Steeles (116),-79.3321370132723,43.8072078322488,-8831213.09582937,5435655.4635493
70,GO-2005812174,1/26/2005 5:00:00 AM,2005,January,26,Wednesday,26,D31,Other,024,Black Creek (24),024,Black Creek (24),-79.5213974095827,43.7732359787382,-8852281.46685074,5430416.72825039
71,GO-2005733656,2/11/2005 5:00:00 AM,2005,February,11,Friday,42,D12,Other,091,Weston-Pelham Park (91),091,Weston-Pelham Park (91),-79.4557654207592,43.6703229343187,-8844975.34725551,5414564.83782116
72,GO-2005951634,2/11/2005 5:00:00 AM,2005,February,11,Friday,42,D33,Shooting,126,Dorset Park (126),126,Dorset Park (126),-79.2822700955946,43.769422438429,-8825661.93602149,5429828.83512007
73,GO-2005736672,2/12/2005 5:00:00 AM,2005,February,12,Saturday,43,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5870900924201,43.7536173825502,-8859594.34275983,5427392.73708173
74,GO-2005918414,2/15/2005 5:00:00 AM,2005,February,15,Tuesday,46,D51,Shooting,074,North St.James Town (74),074,North St.James Town (74),-79.3737671550415,43.6672884064532,-8835847.34203846,5414097.83665394
75,GO-2005768554,2/15/2005 5:00:00 AM,2005,February,15,Tuesday,46,D41,Shooting,126,Dorset Park (126),126,Dorset Park (126),-79.2822700955946,43.769422438429,-8825661.93602149,5429828.83512007
76,GO-2005929672,2/18/2005 5:00:00 AM,2005,February,18,Friday,49,D22,Other,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.4918440268936,43.6132897215093,-8848991.59930396,5405791.60945366
77,GO-2005969241,2/28/2005 5:00:00 AM,2005,February,28,Monday,59,D32,Shooting,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.4459438188703,43.7859561954736,-8843882.0115221,5432377.94002914
78,GO-2005953786,3/5/2005 5:00:00 AM,2005,March,5,Saturday,64,D33,Shooting,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),-79.3562879063953,43.7409905994257,-8833901.56094033,5425446.98129036
79,GO-2005745939,3/11/2005 5:00:00 AM,2005,March,11,Friday,70,D22,Stabbing,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.4982261174434,43.6239180191295,-8849702.05031296,5407425.8936435
80,GO-2005758352,3/25/2005 5:00:00 AM,2005,March,25,Friday,84,D51,Shooting,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.379357949273,43.6618755009793,-8836469.70637967,5413264.87182645
81,GO-2005884190,4/13/2005 5:00:00 AM,2005,April,13,Wednesday,103,D41,Shooting,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.2812516620483,43.685329837141,-8825548.56446721,5416874.68461992
82,GO-20051052948,4/18/2005 5:00:00 AM,2005,April,18,Monday,108,D11,Shooting,085,South Parkdale (85),085,South Parkdale (85),-79.436015021327,43.6371744840075,-8842776.74278454,5409464.70904001
83,GO-20051006774,4/19/2005 5:00:00 AM,2005,April,19,Tuesday,109,D52,Other,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3839952412428,43.6423859814896,-8836985.92736377,5410266.34907744
84,GO-2005739652,4/24/2005 5:00:00 AM,2005,April,24,Sunday,114,D31,Shooting,021,Humber Summit (21),021,Humber Summit (21),-79.552933794057,43.7514449873754,-8855792.08105908,5427057.94706297
85,GO-2005736140,5/4/2005 5:00:00 AM,2005,May,4,Wednesday,124,D42,Stabbing,129,Agincourt North (129),129,Agincourt North (129),-79.2806323209953,43.8064466559192,-8825479.61974246,5435538.05141503
86,GO-2005737037,5/5/2005 5:00:00 AM,2005,May,5,Thursday,125,D31,Stabbing,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5153192136254,43.7552157834165,-8851604.84516708,5427639.07579038
87,GO-2005739574,5/5/2005 5:00:00 AM,2005,May,5,Thursday,125,D14,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.4353339220624,43.6598607107425,-8842700.92319069,5412954.84506869
88,GO-2005756176,5/8/2005 5:00:00 AM,2005,May,8,Sunday,128,D54,Shooting,066,Danforth (66),066,Danforth (66),-79.3417816084041,43.6795380762756,-8832286.72723367,5415983.15437391
89,GO-20051001532,5/14/2005 5:00:00 AM,2005,May,14,Saturday,134,D51,Shooting,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3816255498256,43.6673687064724,-8836722.13456831,5414110.19418396
90,GO-2005863844,5/15/2005 5:00:00 AM,2005,May,15,Sunday,135,D41,Shooting,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.2448608649539,43.7828367785588,-8821497.55947561,5431896.94767685
91,GO-2005988453,5/18/2005 5:00:00 AM,2005,May,18,Wednesday,138,D42,Shooting,136,West Hill (136),136,West Hill (136),-79.190646501461,43.758706196006,-8815462.44408145,5428177.02648609
92,GO-2005781084,5/27/2005 5:00:00 AM,2005,May,27,Friday,147,D31,Stabbing,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5096539899249,43.7396818407209,-8850974.19531617,5425245.32843349
